store_chain,category_id,category_name,n_obs,n_products,freq_regular,avg_change_regular,freq_effective,avg_change_effective,med_change_effective,promo_share,avg_promo_depth,avg_spell_length,med_spell_length,volatility_effective
Magnit,4998,Рыба и морепродукты,9916,235,0.13594191206131503,0.215270294374735,0.13594191206131503,0.215270294374735,0.1620202245935527,0,NA,5.513311819281968,6,0.09941163181762988
Magnit,63791,Вода и напитки,25287,747,0.2040178747973267,0.1328550922481398,0.2040178747973267,0.1328550922481398,0.1000238151940939,0,NA,4.7256297702376715,5,0.07395482502812448
Magnit,63905,Овощи и фрукты,8073,191,0.4131054131054131,0.1604227936779369,0.4131054131054131,0.1604227936779369,0.10000555586421467,0,NA,3.4279697757958627,3,0.1948165271914751
Magnit,63963,Молочный прилавок,35275,915,0.2115946137491141,0.1458376178342129,0.2115946137491141,0.1458376178342129,0.11115227862171174,0,NA,4.843997165131113,5,0.08299903963138294
Magnit,64121,Бакалея,32980,1124,0.17304426925409339,0.17511280192782894,0.17304426925409339,0.17511280192782894,0.13940238802351657,0,NA,5.220800485142511,5,0.09140421163737797
Magnit,64199,Консервы,13746,356,0.1043212570929725,0.13192349969958525,0.1043212570929725,0.13192349969958525,0.08571918395336876,0,NA,6.053979339444202,7,0.057926723394556144
Magnit,64243,Мясо и птица,14350,522,0.20229965156794424,0.33235910307846467,0.20229965156794424,0.33235910307846467,0.23530795929172302,0,NA,4.557282229965157,5,0.19819286178116677
Magnit,65001,Хлеб и выпечка,10782,278,0.34038211834539045,0.23613894810795955,0.34038211834539045,0.23613894810795955,0.2089864158829675,0,NA,3.607957707289928,3,0.17215296200724972
Pyaterochka,251C12886,Овощи и фрукты,14347,418,0.2682093817522827,0.13615737300355843,0.40308078343904646,0.17759281347522166,0.15264764712074957,0.1945354429497456,0.18999979307722484,3.562417230082944,3,0.15130597222374273
Pyaterochka,251C12887,Молочный прилавок,40676,1791,0.19783164519618449,0.09282490489372254,0.227283902055266,0.10559768620749782,0.06668889629876626,0.2221211525223719,0.21494857716913207,4.617268167961451,4,0.06790040700795225
Pyaterochka,251C12888,Хлеб и выпечка,13087,515,0.2586536257354627,0.08371113628520481,0.2993046534729121,0.11623744988202231,0.08956560680698612,0.05960113089325285,0.1822426522272551,4.139909834186597,4,0.0842408871232786
Pyaterochka,251C12889,"Мясо, птица, колбасы",17127,625,0.2931044549541659,0.10670320408591272,0.37046768260641094,0.16233924057767907,0.12493565703360547,0.08658842762889006,0.2181265493375443,3.6968529222864484,3,0.1408214247092259
Pyaterochka,251C12890,Рыба и морепродукты,12415,384,0.38026580749093836,0.06105917090683386,0.5031816351188079,0.14158080825048647,0.1395457012171486,0.25436971405557796,0.1711762773157938,2.90712847362062,2,0.12740507343116125
Pyaterochka,251C12902,Бакалея,60817,2500,0.2761070095532499,0.08424816294090041,0.31553677425719784,0.12309239359899042,0.06411078343377356,0.08739332752355428,0.21771805265067767,4.053948731440222,4,0.10071215562741175
Pyaterochka,251C12904,Вода и напитки,27117,1052,0.29523914887340047,0.10558654925696097,0.3299037504148689,0.12118830713255899,0.08800704056324518,0.08290002581406498,0.17315052453835644,3.8599402588781944,3,0.09689197239171354
